product_description,product_brand_id,product_image,product_name,product_id,product_category_id
"""Màn hình OLED Super Retina XDR 6.1 hiển thị sắc nét, màu sắc chân thực"", Chip\xa0Apple A15 Bionic mạnh mẽ xử lý tác vụ tốt, trải nghiệm game mượt mà, Cụm camera sau thiết kế đặt chéo, camera chính 12 MP chụp ảnh sắc nét, Camera trước có độ phân giải 12 MP chụp selfie rõ nét, đẹp tự nhiên, Mạng di động 5G giúp xem trực tuyến, tải xuống các ứng dụng nhanh chóng, iPhone 13 kháng nước và bụi chuẩn IP68 cho bạn yên tâm sử dụng hơn, Khung viền được làm từ nhôm cùng mặt lưng kính sang trọng, cao cấp",9,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/756/dien-thoai-iphone-13-128gb-den-1.jpg,Điện thoại iPhone 13 128GB Đen,1,9
"""Màn hình Retina 10.2 hiển thị hình ảnh rõ ràng, sống động"", Chip A13 Bionic xử lý tác vụ nhanh chóng, chơi game mượt mà, FaceTime chất lượng cao với camera Ultra Wide độ phân giải 12MP, Camera sau có độ phân giải\xa08MP\xa0chụp ảnh, quay video rõ nét, Thời lượng pin tốt cho bạn thoải sức\xa0chơi game, xem phim, lướt web, Tương thích với bút cảm ứng Apple Pencil và Smart Keyboard",25,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/769/V-IPAD-GEN-9-WIFI-64GB-BAC.jpg,iPad Gen 9 Wifi 64GB 10.2 inch Bạc (2021),2,25
"""Màn hình Retina 10.2 mang đến hình ảnh rõ nét, sống động"", Chip A13 Bionic xử lý tác vụ nhanh chóng, chơi game mượt mà, FaceTime chất lượng cao với camera Ultra Wide độ phân giải 12MP, Camera sau có độ phân giải\xa08MP\xa0chụp ảnh, quay video rõ nét, Thời lượng pin tốt cho bạn thoải sức\xa0chơi game, xem phim, lướt web",25,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/769/V-IPAD-GEN-9-WIFI-64GB-XAM.jpg,iPad Gen 9 Wifi 64GB 10.2 inch Xám (2021),3,25
"""Màn hình tràn viền 6.67 Full HD+ hiển thị rõ nét, màu sắc chân thực"", Bộ vi xử lý Snapdragon 720G mạnh mẽ, tác vụ nhanh, chơi game ổn định, Cụm 4 camera: 64MP+8MP+5MP+2MP chụp ảnh sắc nét chuyên nghiệp, Camera trước có độ phân giải 16MP chụp ảnh selfie đẹp tự nhiên, chân thực, Điện thoại có khả năng quay video 4K sắc nét và chỉnh sửa dễ dàng, Cảm biến vân tay cạnh viền giúp mở khóa chính xác nhanh chóng, Dung lượng pin 5020mAh, sạc nhanh 30W thoải mái sử dụng cả ngày",11,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/690/10046258-dien-thoai-xiaomi-redmi-note-9-pro-6gb-128gb-xam-1.jpg,Điện thoại Xiaomi Redmi Note 9 Pro 6GB/128GB X,4,11
"""Đắm chìm trong những hình ảnh sống động trên màn hình Halo 6.51 HD+"", Chế độ Bảo Vệ Mắt giúp giảm ánh sáng xanh, mang lại trải nghiệm thoải mái, Bộ 3 camera sau: chính\xa050MP + xóa phông 2MP + siêu cận 2MP chụp ảnh tốt, Camera trước điện thoại 8MP với thuật toán Làm Đẹp tạo ra bức ảnh selfie đẹp tự nhiên, Dung lượng pin lớn 5000mAh, sạc siêu tốc 18W, thoải mái sử dụng cả ngày, Mở Khóa Vân Tay Cạnh Bên được tích hợp trên nút nguồn giúp mở khóa nhanh",13,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/751/10049935-dien-thoai-vivo-y21s-4gb-128gb-trang-1.jpg,Điện thoại Vivo Y21s 4GB/128GB Trắng,5,13
"98 phím được bố trí theo tiêu chuẩn QWERTY, gồm 12 phím đa phương tiện, Trang bị công nghệ switch membrane giả cơ,\xa0 trải nghiệm gõ phím êm ái, Có khả năng kháng nước tuyệt vời, giúp người dùng yên tâm khi sử dụng, Hệ thống đèn LED Rainbow hiển thị đặc sắc với 3 chế độ đèn khác nhau, Nút khóa Win -\xa0Ngăn chặn những ảnh hưởng từ Win làm gián đoạn game, Đầu cắm USB tiêu chuẩn, tương thích với nhiều hệ điều hành và nền tảng",31,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/900/10056091-ban-phim-gaming-co-day-zadez-g-850-gen-2-1_pbwf-c0.jpg,Bàn phím Gaming có dây Zadez G-850K Gen 2,6,31
"Bàn phím + chuột Targus KM610 kết nối USB không dây 2.4Ghz, Bàn phím kích thước đầy đủ\xa0cho thao tác nhập liệu linh hoạt hơn, Hành trình phím thấp, gõ nhạy, nhanh và hạn chế gây ồn ào, Chuột có độ nhạy 1600 DPI\xa0giúp thao tác di chuyển trỏ chuột linh hoạt",36,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/771/10050817-combo-ban-phim-chuot-khong-day-targus-km610-1.jpg,Bàn phím + chuột không dây Targus KM610 (AKM610AP-52),7,36
"Bàn phím Logitech MX Keys Mini thiết kế tối giản, kích thước nhỏ gọn, Tạo hình vừa với ngón tay giúp gõ siêu mượt và giảm tiếng ồn tối đa, Có tích hợp phím Emoji cho bạn khả năng gửi các biểu tượng cảm xúc, Nhấn phím F6 đọc chính tả giúp chuyển từ đàm thoại sang văn bản, Phím F9 giúp tắt tiếng và hủy tắt tiếng mic cho các cuộc gọi video, Được trang bị đèn LED chiếu sáng hỗ trợ bạn làm việc vào buổi tối, Thời lượng pin lên đến 10 ngày hoặc 5 tháng (tắt tính năng đèn nền), Tính năng FLOW cho phép sao chép văn bản, thư mục giữa các thiết bị",30,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/861/10052494-ban-phim-khong-day-logitech-mx-keys-mini-hong-1.jpg,Bàn phím không dây Logitech MX Keys Mini,8,30
"Bàn phím Logitech nhỏ gọn với các phím có thiết kế lõm tròn, Trải nghiệm gõ êm ái, ít tiếng ồn, cảm giác quen thuộc như trên laptop, 10 phím tắt tiện dụng giúp bạn làm việc thông minh và nhanh chóng hơn, Chuyển đổi qua lại giữa 3 thiết bị của bạn bằng một lần nhấn các nút Easy-Switch, Công nghệ Bluetooth tiết kiệm năng lượng giúp việc kết nối trở nên dễ dàng hơn, Thời lượng pin lên tới 36 tháng, tăng hơn 50% so với K380 trước đây",30,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/897/10056526-ban-phim-bluetooth-logitech-pebble-key-2-k380s-hong-1.jpg,Bàn phím Bluetooth Logitech Pebble Keys 2 K380s,9,30
"Bàn phím Magic Keyboard thiết kế nhỏ gọn, kết nối nhanh chóng, Tích hợp nhiều phím tắt, hành trình phím vừa đủ, độ nảy cao, Kết nối thông qua Smart Connector, không cần sử dụng Bluetooth hay cổng Lightning, Bàn phím Apple được thiết kế để sử dụng với iPad (thế hệ thứ 10), Bàn phím tích hợp bàn di chuột cùng nắp lưng có giá đỡ tiện điều chỉnh",35,https://cdn.nguyenkimmall.com/images/thumbnails/210/210/detailed/975/10054347-Bàn_phím_Magic_Keyboard_Folio_iPad_Gen_10_MQDP3ZAA1.jpg,Bàn phím Magic Keyboard Folio iPad Gen 10 MQDP3ZA/A,10,35
